no,x1,x2,x3,y
54,5.314,4.763,4.468,123.578
55,4.230,9.814,1.013,196.097
56,4.113,5.147,7.264,105.362
57,7.856,1.826,0.446,113.621
58,7.778,0.274,6.353,70.637
59,0.718,0.643,3.682,15.902
60,1.692,2.937,5.136,57.677
61,6.426,4.403,1.387,136.072
62,8.969,9.695,4.083,230.893
63,6.121,4.911,2.664,140.305
64,1.374,0.281,2.466,21.887
65,1.183,5.257,9.262,75.476
66,7.458,0.608,5.903,75.078
67,5.663,7.486,3.110,171.156
68,3.238,2.629,7.389,57.248
69,2.589,5.028,9.289,81.590
70,1.243,6.279,6.144,99.426
71,5.169,4.638,7.974,109.736
72,0.839,5.189,7.610,71.968
73,8.875,3.201,7.225,123.217
74,9.731,4.082,0.366,169.622
75,7.467,5.525,1.737,160.853
76,5.709,6.974,9.487,145.195
77,7.203,2.900,3.148,116.530
78,2.433,0.491,5.678,22.589
79,9.647,3.373,9.796,126.842
80,9.129,5.093,1.855,170.439
81,4.095,5.612,5.941,116.509
82,8.239,0.786,4.193,92.760
83,2.712,6.678,9.902,109.191
84,1.937,3.747,0.512,86.765
85,6.322,2.212,7.924,83.092
86,9.403,9.230,9.959,213.324
87,8.196,1.358,2.153,106.141
88,1.489,5.623,3.166,97.909
89,2.855,5.391,6.357,102.813
90,4.552,8.565,6.613,165.125
91,7.148,7.596,8.585,171.129
92,1.746,1.143,3.890,31.828
93,6.935,5.678,0.632,162.569
94,9.133,0.067,3.160,91.771
95,3.269,3.905,2.577,92.255
96,9.524,6.030,7.423,173.979
97,7.867,5.085,8.357,141.448
98,7.857,5.762,8.459,147.155
99,9.929,6.830,4.790,196.113
100,9.392,9.899,2.015,246.609
101,7.191,0.964,4.936,81.002
102,0.104,1.068,7.363,6.383
103,9.274,1.441,4.768,107.938
104,0.341,1.194,0.815,26.418
105,8.207,3.418,7.516,122.205
106,7.238,4.172,4.969,127.917
107,9.649,6.562,7.620,182.705
108,2.569,0.360,7.791,17.432
109,8.600,9.777,9.275,214.063
110,5.443,1.893,5.836,77.431
111,5.631,0.337,8.283,45.577
112,7.979,8.599,8.162,192.854
113,3.425,9.691,2.237,182.355
114,8.800,2.819,3.733,129.350
115,3.287,6.065,8.945,105.390
116,2.809,8.351,6.382,146.614
117,4.805,0.381,1.827,58.506
118,2.853,1.872,9.344,36.789
119,9.842,4.877,4.190,170.866
120,4.909,6.536,9.668,127.027
121,6.129,2.902,9.803,87.795
122,6.744,8.052,0.105,200.711
123,7.746,0.258,0.552,88.165
124,4.837,9.224,5.809,179.500
125,8.404,0.984,2.653,101.373
126,8.690,7.867,3.367,207.206
127,0.536,3.664,0.731,66.967
128,5.529,8.691,2.333,188.394
129,6.085,9.205,3.667,197.000
130,8.393,0.301,4.068,85.107
131,1.804,4.909,5.746,85.956
132,1.699,5.275,3.357,97.811
133,7.423,3.250,1.266,132.630
134,5.105,9.752,3.600,197.337
135,8.312,9.320,6.839,210.975
136,0.612,4.958,6.424,70.721
137,9.400,5.891,2.658,182.928
138,5.837,6.778,2.393,165.467
139,9.792,1.957,9.036,109.539
140,5.467,6.096,1.263,154.758
141,2.872,3.418,3.955,79.814
142,8.279,0.536,7.559,78.005
143,3.142,1.865,8.007,48.604
144,8.020,2.622,1.867,125.310
145,5.663,0.946,8.554,55.770
146,6.436,4.642,8.588,117.531
147,0.874,7.163,9.519,96.683
148,6.790,4.171,4.243,128.179
149,4.796,7.023,9.516,134.096
150,9.098,0.443,2.299,100.976
151,0.956,7.959,4.369,126.561
152,7.466,7.810,8.744,177.646
153,8.753,3.460,8.023,123.891
154,2.881,6.424,2.494,130.474
155,8.430,4.910,3.671,157.424
156,0.350,9.628,6.277,139.829
157,3.516,5.554,3.368,119.580
158,8.993,4.626,9.823,140.002
159,8.045,3.412,2.639,135.268
160,7.212,8.444,4.774,194.541
161,1.665,0.604,1.785,28.600
162,9.156,7.761,9.927,191.441
163,1.886,1.286,8.035,25.918
164,5.423,4.402,4.928,116.997
165,7.314,8.390,9.651,182.882
166,1.370,5.458,9.026,79.540
167,4.469,5.006,1.982,123.454
168,8.392,1.790,2.689,115.263
169,9.673,8.821,5.972,222.887
170,5.373,6.823,7.943,142.010
171,9.367,2.915,8.498,121.284
172,2.109,9.251,4.146,159.352
173,8.611,7.391,0.559,203.502
174,1.782,2.387,5.480,44.849
175,5.110,1.738,9.455,59.920
176,9.259,4.892,7.357,152.990
177,8.487,0.166,3.900,84.035
178,8.460,0.853,6.598,89.703
179,0.645,9.362,6.980,137.833
180,1.912,0.582,4.762,23.685
181,1.044,3.033,9.862,38.009
182,9.516,1.168,3.104,111.282
183,0.149,2.624,8.334,28.202
184,2.487,2.428,8.324,44.119
185,7.194,3.290,0.023,132.540
186,3.558,6.291,0.812,137.848
187,0.578,7.007,7.811,99.897
188,2.412,4.029,3.735,82.949
189,8.563,7.066,9.389,171.796
190,9.492,2.808,2.467,141.086
191,4.770,4.535,5.223,108.450
192,5.303,8.973,5.453,179.709
193,1.245,3.122,9.143,39.601
194,4.726,5.400,2.695,128.439
195,1.832,4.736,0.174,96.737
196,4.977,8.551,8.811,160.691
197,5.427,7.830,3.951,171.948
198,7.411,9.409,2.531,219.871
199,5.384,2.037,5.684,79.859
