no,x1,x2,x3,y
172,4.066,4.53,1.596,-0.132
173,4.226,2.523,1.351,0.678
174,4.361,4.474,2.928,-0.938
175,0.953,3.992,1.543,1.140
176,4.754,3.161,3.994,1.136
177,2.388,4.445,1.383,-0.657
178,3.558,4.745,1.632,-0.310
179,1.956,0.5,3.372,-0.012
180,4.537,0.079,2.266,-0.030
181,3.504,2.304,1.587,0.966
182,3.668,3.071,3.603,0.801
183,3.606,0.19,1.53,0.055
184,2.6,2.915,0.827,0.964
185,0.561,0.258,1.507,-0.120
186,4.635,4.441,1.97,0.057
187,0.673,2.275,4.701,0.669
188,1.039,2.578,3.687,0.603
189,3.523,3.718,0.373,-0.881
190,4.816,4.941,2.405,0.710
191,1.125,4.152,2.443,0.990
192,3.487,0.829,4.167,1.032
193,4.235,1.261,0.308,1.012
194,4.127,3.298,0.195,-0.925
195,2.374,1.041,3.757,1.072
196,3.181,0.605,4.46,0.632
197,2.561,3.742,4.254,0.211
198,1.626,0.025,3.415,-0.972
199,1.82,1.45,2.478,0.670
200,1.516,3.81,2.132,0.931
201,1.368,3.412,1.857,0.444
202,2.777,0.485,4.443,-0.011
203,4.822,0.245,4.252,1.067
204,1.728,2.839,4.355,-0.164
205,0.971,1.083,4.515,-0.756
206,1.475,3.21,1.835,0.225
207,1.769,3.855,0.114,-0.171
208,1.331,2.537,4.951,1.126
209,2.552,1.455,2.384,-0.402
210,4.924,2.281,0.823,-0.115
211,4.033,2.783,1.266,0.419
212,4.342,1.597,1.721,0.454
213,2.037,2.504,3.917,-0.222
214,2.349,1.77,1.22,-0.812
215,0.705,1.75,2.914,1.144
216,0.172,4.249,3.072,-0.460
217,0.73,1.84,1.867,0.563
218,2.887,1.975,2.919,-0.927
219,3.007,2.032,0.271,1.026
220,1.411,0.484,2.096,0.719
221,4.142,1.794,0.089,1.016
222,1.305,4.798,3.311,1.033
223,1.788,2.224,1.006,-0.513
224,2.153,3.831,4.906,-0.675
225,0.333,3.057,4.282,0.897
226,0.299,1.038,3.108,-0.599
227,3.859,2.634,1.793,1.021
228,2.4,2.936,1.476,0.950
229,1.469,2.122,0.399,-0.586
230,4.572,0.878,2.666,-0.987
231,1.904,2.269,3.551,-0.007
232,1.18,1.654,0.002,-0.834
233,2.801,1.456,3.894,0.694
234,0.99,1.772,0.235,-0.869
235,1.219,2.565,2.868,-0.375
236,2.406,3.672,1.013,0.355
237,3.818,3.871,1.916,-0.739
238,2.104,0.629,4.455,-0.614
239,2.725,2.575,1.993,0.248
240,0.917,1.402,2.998,0.795
241,3.126,0.753,4.265,0.978
242,3.657,2.938,0.274,-0.354
243,1.268,4.475,3.335,0.755
244,3.098,2.207,0.751,0.899
245,3.795,2.257,1.944,0.777
246,0.545,3.605,2.181,-0.405
247,2.066,3.413,2.566,0.635
248,3.272,2.449,2.592,0.085
249,0.188,3.96,4.698,-0.110
250,3.399,2.039,2.714,-0.704
251,3.966,2.383,3.303,0.125
252,0.345,2.1,4.278,0.464
253,3.693,1.928,0.237,1.076
254,3.979,4.279,2.311,-0.876
255,4.817,3.011,4.381,1.062
256,4.856,3.529,3.879,0.465
257,0.037,3.949,0.704,0.974
258,1.216,0.64,3.465,-0.598
259,2.634,3.737,0.32,-0.654
260,1.61,0.331,2.434,0.274
261,3.046,1.599,2.306,-0.896
262,1.889,4.861,0.325,-0.647
263,2.712,3.326,0.414,0.050
264,4.489,2.215,4.505,-0.688
265,3.042,0.359,2.545,0.983
266,4.68,4.171,2.586,-0.784
267,2.331,3.186,0.771,1.044
268,1.175,3.495,3.916,-0.939
269,4.778,0.084,4.359,1.003
270,0.042,3.157,3.487,0.421
271,2.179,4.506,1.678,-0.422
272,2.614,3.464,4.287,-0.338
273,0.337,4.118,3.603,-0.812
274,4.333,4.11,1.229,-0.228
275,1.318,4.88,4.96,0.216
276,4.148,0.099,1.514,-0.317
277,0.453,0.242,2.007,-0.747
278,0.243,0.089,1.454,-0.635
279,2.123,4.67,3.295,0.796
280,2.979,3.469,0.414,-0.602
281,2.219,4.486,0.759,-0.892
282,2.787,3.427,4.638,-0.509
283,0.331,2.978,1.513,-0.798
284,4.716,0.137,4.029,1.127
285,3.138,1.28,4.47,1.152
286,4.223,0.368,2.485,-0.150
287,3.088,2.392,3.323,-0.889
288,4.961,4.265,3.713,-0.931
289,2.535,3.552,2.633,1.021
290,3.908,0.28,3.549,1.151
291,3.014,4.108,1.76,-0.458
292,1.125,3.308,2.649,-0.761
293,4.106,2.846,2.7,1.163
294,4.928,2.567,4.797,-0.019
295,3.299,3.757,0.175,-0.930
296,1.943,0.768,0.597,0.020
297,0.341,1.067,0.959,1.151
298,4.353,2.755,3.576,0.870
299,4.891,2.74,3.191,1.131
300,4.694,3.693,4.18,0.735
301,3.897,2.349,1.635,1.067
302,2.487,0.586,1.796,0.839
303,3.817,0.091,0.537,-0.833
304,0.434,3.525,3.872,-0.480
305,4.859,2.838,3.022,0.871
306,3.454,1.539,2.825,-0.792
307,0.172,1,4.552,-0.590
308,3.521,1.352,4.439,0.740
309,4.357,0.492,3.95,0.855
310,0.726,3.957,0.294,0.887
311,3.365,4.442,2.191,-0.789
312,0.67,1.346,3.261,0.248
313,3.026,1.206,2.406,-0.391
314,2.825,0.173,4.484,-0.509
315,2.292,3.09,1.362,1.125
316,3.183,2.022,1.01,0.558
317,0.818,2.968,4.718,0.927
318,2.937,0.79,3.67,1.035
319,3.076,1.067,4.567,0.988
320,1.676,1.491,2.421,0.734
321,0.339,1.186,2.827,0.068
322,1.019,3.477,4.461,-0.376
323,4.2,1.693,1.242,0.794
324,3.321,4.41,4.125,0.732
325,4.68,3.544,4.267,0.945
326,2.439,4.804,0.008,-0.014
327,2.441,1.604,0.07,-0.025
328,3.527,1.28,3.3,-0.290
329,4.692,3.461,2.235,-0.683
330,0.201,2.346,2.51,0.721
331,1.984,1.072,2.419,0.888
332,1.834,2.244,2.776,-0.514
333,2.463,3.365,2.512,0.887
334,2.15,1.159,4.919,0.115
335,2.224,3.587,2.642,0.938
336,0.395,3.278,2.959,-0.675
337,3.158,2.022,2.775,-0.765
338,2.894,1.357,3.302,0.381
339,0.798,0.888,1.411,1.058
340,2.126,0.017,4.992,-0.584
341,3.942,4.839,2.231,-0.216
342,1.536,4.188,4.794,-0.600
343,0.141,4.975,0.736,0.048
344,3.309,3.436,1.524,0.269
345,0.054,4.307,2.63,-0.139
346,0.894,0.22,4.125,-0.428
347,1.185,3.249,0.52,0.916
348,4.974,2.859,2.979,0.736
349,4.787,2.479,4.757,-0.244
350,4.012,2.733,0.913,0.239
351,0.814,0.288,4.262,-0.350
352,3.632,1.814,1.381,0.363
353,4.133,1.001,1.803,-0.805
354,0.973,1.927,2.178,0.313
355,3.723,1.376,2.198,-0.848
356,0.766,3.668,1.452,0.676
357,4.096,1.424,3.74,-0.754
358,2.99,3.639,3.882,0.798
359,2.962,4.499,2.77,-0.326
360,3.338,4.243,0.672,-0.533
361,3.59,4.408,4.914,1.126
362,0.098,4.213,0.221,1.003
363,2.75,1.305,1.232,-0.860
364,0.399,0.88,1.005,1.142
365,3.198,0.886,4.948,0.708
366,1.516,1.278,0.158,-0.741
367,4.541,1.648,0.954,1.143
368,1.871,4.144,1.845,0.791
369,1.571,3.494,1.347,1.128
370,4.686,4.813,1.608,0.910
371,4.175,3.832,3.088,-0.120
372,4.357,2.618,4.204,0.044
373,2.915,2.745,0.575,0.902
374,2.381,4.776,3.402,0.534
375,2.968,3.99,0.167,-0.765
376,0.415,2.799,1.724,-0.759
377,3.378,4.256,2.212,-0.728
378,4.051,0.435,0.263,-0.590
379,1.948,2.37,2.68,-0.852
380,3.617,4.875,4.823,0.285
381,4.111,1.308,0.876,0.539
382,1.681,3.659,4.709,-0.970
383,4.644,1.11,2.395,-0.767
384,4.312,3.02,0.635,-0.807
385,1.561,1.115,2.404,1.062
386,2.449,2.25,4.446,0.258
387,2.479,3.768,1.481,0.497
388,0.274,3.375,2.795,-0.750
389,1.855,1.086,0.91,-0.262
390,3.337,4.838,1.085,0.174
391,4.656,4.707,4.449,-0.881
392,0.021,0.07,1.449,-0.906
393,1.103,0.55,1.308,1.058
394,1.212,0.97,3.005,0.555
395,0.417,2.907,2.191,-0.822
396,4.101,1.411,0.635,0.846
397,2.157,1.681,0.522,-0.586
398,4.585,2.883,2.611,0.704
399,2.332,0.816,3.068,1.065
400,0.38,1.358,0.647,0.700
401,0.099,3.241,3.027,-0.400
402,4.213,1.199,0.345,0.764
403,3.074,3.392,3.146,1.051
404,4.856,1.688,1.643,1.071
405,4.855,4.268,0.496,1.089
406,1.227,0.418,2.72,-0.232
407,3.172,3.934,1.043,-0.792
408,4.562,3.677,0.581,-0.205
409,1.57,4.478,0.599,-0.622
410,1.425,1.095,0.565,-0.035
411,2.831,2.114,1.362,0.011
412,4.203,3.432,0.121,-0.557
413,2.796,1.17,4.351,1.096
414,3.561,0.681,0.529,-0.748
415,0.873,1.739,4.443,0.151
416,2.187,0.615,0.099,-0.391
417,2.497,0.368,4.037,-0.116
418,0.221,4.467,0.028,0.314
419,3.342,0.761,2.931,0.555
420,1.972,3.967,3.756,0.277
421,2.996,1.213,3.864,0.902
422,3.743,2.868,2.879,1.046
423,3.127,2.544,1.764,0.755
424,2.346,4.252,1.944,0.221
425,4.897,1.455,3.706,-0.752
426,0.633,3.774,4.259,-0.713
427,3.087,2.566,2.091,0.517
428,3.87,1.951,2.995,-0.593
429,3.221,0.61,4.242,0.938
430,4.91,4.412,1.206,0.913
431,3.953,3.517,0.638,-0.922
432,3.283,1.268,2.448,-0.729
433,1.025,2.33,1.164,-0.890
434,3.017,3.028,2.615,0.731
435,2.707,1.077,1.409,-0.569
436,2.014,4.179,4.368,0.307
437,0.378,4.075,4.859,-0.532
438,2.38,0.021,3.99,-0.791
439,2.753,3.83,0.208,-0.923
440,0.846,3.282,0.866,0.544
441,1.938,3.758,1.478,0.893
442,1.957,3.412,3.531,-0.448
443,0.862,2.203,1.966,-0.235
444,1.7,0.296,4.524,-0.920
445,4.072,3.66,4.38,1.169
446,1.253,0.62,0.194,0.705
447,2.191,0.389,3.807,-0.265
448,2.32,3.948,2.694,1.023
449,1.46,1.688,0.262,-0.913
450,1.993,2.763,1.043,0.655
451,1.587,1.52,3.596,1.141
452,3.668,4.939,3.845,-0.694
453,3.117,2.063,1.298,0.326
454,3.039,1.77,3.78,-0.149
455,2.645,4.44,1.434,-0.876
456,3.764,3.434,2.944,0.834
457,1.268,1.737,0.392,-0.881
458,2.116,2.447,3.191,-0.776
459,3.635,2.877,3.571,0.443
460,4.52,1.217,0.929,0.761
461,3.365,0.007,0.301,-0.521
462,0.362,4.916,1.125,0.312
463,4.902,1.551,0.096,0.569
464,0.208,4.62,1.89,1.159
465,0.818,1.353,1.585,0.899
466,3.738,3.852,3.125,0.389
467,3.503,4.854,0.556,0.791
468,3.457,3.833,0.543,-0.788
469,0.414,3.998,1.831,0.412
470,4.247,3.437,0.342,-0.649
471,3.686,4.47,2.141,-0.930
472,2.15,2.182,0.993,-0.261
473,3.746,0.148,0.522,-0.846
474,4.08,0.641,2.804,-0.060
475,0.135,3.879,1.273,0.485
476,4.853,3.136,0.069,-0.497
477,4.645,2.857,3.901,0.910
478,1.983,0.98,3.999,0.521
479,0.604,0.342,2.224,-0.659
480,4.814,1.768,2.011,0.964
481,1.696,3.012,3.661,-0.911
482,1.102,3.017,0.694,0.481
483,1.78,0.962,4.742,-0.465
484,1.288,1.506,2.57,1.045
485,2.775,2.834,4.714,-0.869
486,4.175,3.469,2.054,-0.293
487,0.267,2.388,4.713,0.452
488,0.176,4.289,1.784,0.754
489,0.229,0.017,3.01,-0.383
490,1.672,3.763,2.139,0.902
491,2.212,0.713,1.64,0.701
492,0.49,2.698,3.191,0.364
493,4.561,4.816,2.52,0.169
494,0.621,4.34,4.078,-0.712
495,3.552,4.549,1.786,-0.806
496,4.754,1.685,1.406,1.019
497,0.826,4.907,3.84,0.641
498,1.948,3.455,1.806,1.088
499,2.671,2.491,4.405,-0.398
